"Bill of Material for "
"On 2019/7/4/ÖÜËÄ at 14:17:56"

"Comment","Pattern","Quantity","Components"

"0.1uF","C0603","11","C27, C28, C29, C33, C35, C36, C37, C38, C39, C40, C41","Capacitor (Semiconductor SIM Model)"
"0.1uF","cap0603","1","C201","Capacitor"
"0.1uF","CC1608-0603","6","C4, C9, C13, C22, C24, C25","Capacitor (Semiconductor SIM Model)"
"0.33uF","cap0603","1","C200","Capacitor"
"0R","R0603","1","R20","Resistor"
"0¦¸","6-0805_M","1","","Resistor"
"1.5k","RES0603","1","R209","Resistor"
"1.8k","RES0603","1","R208","Resistor"
"1","6-0805_M","2","R3, R4","Semiconductor Resistor"
"100","VR5","1","R11",""
"100K","C1608-0603","1","R1","Resistor"
"104","C0603","3","C11, C19, C31","Capacitor (Semiconductor SIM Model)"
"10K","J1-0603","1","R17","Resistor"
"10k","R0603","4","R2, R7, R21, R22","Resistor"
"10k","RES0603","3","R201, R202, R211","Resistor"
"10n","CC1608-0603","1","C3","Capacitor (Semiconductor SIM Model)"
"10R","R0603","1","R18","Resistor"
"10uF/100V","cap_2.54","2","P_C4, P_C6","Polarized Capacitor (Surface Mount)"
"10uF/16V","C1206","1","C20","Polarized Capacitor (Radial)"
"10uF/50V","C0805","2","C32, C34","Polarized Capacitor (Surface Mount)"
"10uF","CC3216-1206","3","C7, C10, C12","Capacitor (Semiconductor SIM Model)"
"120","DCP010505DB(PDIP)","1","power",""
"12-5","12-5","2","DC-DC1, DC-DC3",""
"12-60","12-60","1","2",""
"15p","CC1608-0603","2","C5, C6","Capacitor (Semiconductor SIM Model)"
"1k","R0603","4","R8, R19, R23, R24","Resistor"
"1M","J1-0603","1","R16","Resistor"
"1u","CC1608-0603","2","C1, C2","Capacitor (Semiconductor SIM Model)"
"2.2u","cap0603","3","C15, C16, C17","Capacitor"
"20k","VR5","1","R12",""
"20pF","C0603","2","C26, C30","Capacitor (Semiconductor SIM Model)"
"2K","1608[0603]","1","R60","Resistor"
"2k","RES0603","4","R203, R204, R206, R207","Resistor"
"2N6517","TO-92A","5","Q5, Q7, Q8, Q9, Q10","NPN General Purpose Amplifier"
"2N6520","TO-92A","5","Q1, Q2, Q3, Q4, Q6","PNP General Purpose Amplifier"
"36k","RES0603","2","R200, R205","Resistor"
"750R","RES0603","2","R210, R212","Resistor"
"8M","BCY-W2/E4.7","1","Y1","Crystal Oscillator"
"8M","HDR1X3","1","JP2","Header, 3-Pin"
"AMS1117-3.3","SOT223-4M","1","U1",""
"Bead","6-0805_M","2","R5, R6","Resistor"
"Cap Pol3","cap_2.54","7","P_C1, P_C2, P_C3, P_C5, P_C7, P_C8, P_C9","Polarized Capacitor (Surface Mount)"
"Cap Semi","CC1608-0603","1","C8","Capacitor (Semiconductor SIM Model)"
"Cap","1206","2","C21, C23","Polarized Capacitor (Radial)"
"CN1185","SSOP16_L","1","U201",""
"Fuse 1","HDR1X2","3","P_F1, P_F2, P_F3","Fuse"
"Header 17X2","HDR2X17-NIUJIAO","1","P1","Header, 17-Pin, Dual row"
"Header 2","HDR1X2","10","C100, DC12V_IN, P2, P3, P6, P8, P9, P10, P11, P12","Header, 2-Pin"
"Header 3","HDR1X3","5","JP6, POWER1, POWER2, POWER3, POWER4","Header, 3-Pin"
"Header 4","Power-4P","1","P4","Header, 4-Pin"
"Header 5","Power-5P","1","P5","Header, 5-Pin"
"Header 6","HDR1X6","1","JP1","Header, 6-Pin"
"IN4148","SMD _LED","1","DS1","Typical BLUE SiC LED"
"Inductor","AXIAL-0.4","9","P_L1, P_L2, P_L3, P_L4, P_L5, P_L6, P_L7, P_L8, P_L9","Inductor"
"ISO7761","ISO7761","1","1",""
"L7805","TO-220-AB","1","U200",""
"LDO?","ADP1711_3v3","1","ADP1",""
"LED","6-0805_M","1","LED10","Typical BLUE SiC LED"
"MAX14803","TQFP48_N","1","U4","MAX14803"
"MSP430F169","msp430f149","1","cpu1",""
"Res3","C1608-0603","6","R9, R10, R13, R14, R15, R100","Resistor"
"RESET","SWITCH","1","S1","Switch-°´¼ü"
"SS14","DO-214 SMA","1","D1","1.0 Ampere Schottky Barrier Rectifiers"
"ST-LINK","HDR1X3","1","P7",""
"STM32F103VET6","LQFP100","1","U3",""
"TLC2252","INA128_SO8","1","U2",""
"TLP521-4","DIP-16","1","U5",""
